Rank,Article Number,Article Title,1st Author Name,Volume Number,Issue Number,Content Type,Online Publish Year,Print Publish Year,Open Access,DOI,PDF Downloads,HTML Views,Total Usage,Paper Citations To Date,Patent Citations To Date,Total Citations To Date,Author Keywords,IEEE Thesaurus Terms,URL
1672,9905493,Harvested Energy Prediction Technique for Solar-Powered Wireless Sensor Networks,Dipak Kumar Sah,23,8,orig-research,2022,2023,N,10.1109/JSEN.2022.3208730,249,125,374,7,0,7,,Batteries;Energy resources;Predictive models;Routing;Sensors;Solar energy;Wireless sensor networks,https://ieeexplore.ieee.org/document/9905493
1672,9151106,An Efficient Multi-Modal Biometric Sensing and Authentication Framework for Distributed Applications,Ayesha Tarannum,20,24,orig-research,2020,2020,N,10.1109/JSEN.2020.3012536,217,157,374,14,0,14,,Authentication;Biological system modeling;Encryption;Feature extraction;Fingerprint recognition;Sensors,https://ieeexplore.ieee.org/document/9151106
1672,10041034,A Calculation Method for the Optimal Initial Polar Distance of Capacitive Force Sensors,Minghui Pu,23,7,orig-research,2023,2023,N,10.1109/JSEN.2023.3242070,285,89,374,0,0,0,,Capacitance;Capacitive sensors;Capacitors;Sensitivity;Sensor phenomena and characterization;Sensors;Systematics,https://ieeexplore.ieee.org/document/10041034
1672,8815833,Stream Processing With Concept Drift for Event Identification in Sensors Enabled IoT Environment,Vivek Kumar Singh,19,24,orig-research,2019,2019,N,10.1109/JSEN.2019.2937911,229,145,374,2,0,2,,Correlation;Decision making;Memory management;Monitoring;Sensor phenomena and characterization;Wireless sensor networks,https://ieeexplore.ieee.org/document/8815833
1672,8827532,Adaptive $L_{p}$ Regularization for Electrical Impedance Tomography,Jia Li,19,24,orig-research,2019,2019,N,10.1109/JSEN.2019.2940070,224,150,374,19,0,19,,Conductivity;Current measurement;Linear programming;Optimization;Spatial resolution;Tomography;Voltage measurement,https://ieeexplore.ieee.org/document/8827532
1672,9698233,An Absolute Linear Displacement Sensor Based on Orthogonal Dual Traveling Wave Magnetic Field,Liang Wu,22,6,orig-research,2022,2022,N,10.1109/JSEN.2022.3148283,203,171,374,5,0,5,,Capacitive sensors;Coils;Displacement measurement;Magnetic field measurement;Magnetic fields;Magnetic sensors;Sensors,https://ieeexplore.ieee.org/document/9698233
1673,8970281,Multifocus Image Fusion Algorithm Based on Rough Set and Neural Network,Xiaohui Xu,20,20,orig-research,2020,2020,N,10.1109/JSEN.2020.2969490,265,108,373,5,0,5,,Image fusion;Image segmentation;Neural networks;Rough sets;Standards;Wavelet transforms,https://ieeexplore.ieee.org/document/8970281
1673,9052723,Design of Biomolecule Interaction Detection System Based on Fiber Biosensor,Wenhao Zhang,20,16,orig-research,2020,2020,N,10.1109/JSEN.2020.2984808,232,141,373,2,0,2,,Couplings;Interference;Lenses;Optical fiber sensors;Optical fibers;Probes,https://ieeexplore.ieee.org/document/9052723
1673,8315401,Patch-Based LLE With Selective Neighborhood for Node Localization,Neeraj Jain,18,9,orig-research,2018,2018,N,10.1109/JSEN.2018.2815761,264,109,373,7,0,7,,Approximation algorithms;Estimation;Global Positioning System;Manifolds;Noise measurement;Sensor systems,https://ieeexplore.ieee.org/document/8315401
1673,10083054,Configuration and Design Schemes of Environmental Sensing and Vehicle Computing Systems for Automated Driving: A Review,Tianchuang Meng,23,14,orig-research,2023,2023,N,10.1109/JSEN.2023.3260193,213,160,373,0,0,0,,Automation;Cameras;Laser radar;Roads;Sensor systems;Sensors;Vehicles,https://ieeexplore.ieee.org/document/10083054
1673,9565913,Semi-Supervised Unmixing of Hyperspectral Data via Spectral-Spatial Factorization,Xintong Tan,21,22,orig-research,2021,2021,N,10.1109/JSEN.2021.3118885,238,135,373,3,0,3,,Art;Hyperspectral imaging;Libraries;Minimization;Sensors;Signal processing algorithms;Sparse matrices,https://ieeexplore.ieee.org/document/9565913
1673,9233444,Contactless Finger Tapping Detection at C-Band,Xiaodong Yang,21,4,orig-research,2020,2021,N,10.1109/JSEN.2020.3032558,211,162,373,12,0,12,,Antennas;Feature extraction;Sensors;Thumb;Wireless communication;Wireless sensor networks,https://ieeexplore.ieee.org/document/9233444
1673,9465805,A Content-Based Chinese Spam Detection Method Using a Capsule Network With Long-Short Attention,Xin Tong,21,22,orig-research,2021,2021,N,10.1109/JSEN.2021.3092728,225,148,373,8,0,8,,Data models;Deep learning;Feature extraction;Sensors;Task analysis;Training;Unsolicited e-mail,https://ieeexplore.ieee.org/document/9465805
1673,9913821,A Real-Time Tunable ECG Noise-Aware System for IoT-Enabled Devices,Saifur Rahman,22,23,orig-research,2022,2022,N,10.1109/JSEN.2022.3211318,213,160,373,1,0,1,,Cloud computing;Costs;Electrocardiography;Monitoring;Noise measurement;Real-time systems;Sensors,https://ieeexplore.ieee.org/document/9913821
1673,8522026,Adaptive Thermal Management of Implantable Device,Ruizhi Chai,19,3,orig-research,2018,2019,N,10.1109/JSEN.2018.2879427,232,141,373,6,0,6,,Adaptation models;Electrodes;Implants;Mathematical model;Performance evaluation;Prosthetics;Thermal management,https://ieeexplore.ieee.org/document/8522026
1673,9328228,Relative Heading Estimation for Pedestrians Based on the Gravity Vector,Vincent Thio,21,6,orig-research,2021,2021,N,10.1109/JSEN.2021.3052430,214,159,373,5,0,5,,Acceleration;Estimation;Gravity;Magnetic sensors;Magnetic separation;Magnetometers;Sensors,https://ieeexplore.ieee.org/document/9328228
1673,9557303,Screen-Printed Parallel-Stripes Electrodes Toward Oriented Piezoelectric Nanofibers Sensors for Both Stability and Sensitivity Improvement,Tianyuan Hou,21,21,orig-research,2021,2021,N,10.1109/JSEN.2021.3117271,215,158,373,2,0,2,,Electrodes;Films;Ink;Sensitivity;Sensors;Silver;Voltage,https://ieeexplore.ieee.org/document/9557303
1673,9681813,A Steady-State Spoofing Detection and Exclusion Method Based on Raw IMU Measurement,Yimin Wei,22,4,orig-research,2022,2022,N,10.1109/JSEN.2022.3143150,227,146,373,4,0,4,,Doppler effect;Force;Frequency estimation;Global navigation satellite system;Navigation;Noise measurement;Sensors,https://ieeexplore.ieee.org/document/9681813
1673,10053653,Robust Stereo Matching Using Discriminative Multilevel Features and Multimodal Bifurcated Cost Volume Network,James Okae,23,7,orig-research,2023,2023,N,10.1109/JSEN.2023.3246960,318,55,373,0,0,0,,Correlation;Costs;Feature extraction;Robot sensing systems;Semantics;Sensors;Three-dimensional displays,https://ieeexplore.ieee.org/document/10053653
1673,9222143,Design of Highly Uniform Magnetic Field Coils With Wolf Pack Algorithm,Jun Xu,21,4,orig-research,2020,2021,N,10.1109/JSEN.2020.3030622,220,153,373,15,0,15,,Coils;Convergence;Magnetic fields;Magnetic sensors;Magnetometers;Optimization;Sensors,https://ieeexplore.ieee.org/document/9222143
1673,9931605,Hall-Effect Sensor Design With Physics-Informed Gaussian Process Modeling,Yanwen Xu,22,23,orig-research,2022,2022,N,10.1109/JSEN.2022.3216499,209,164,373,1,0,1,,Adaptation models;Geometry;Magnetic sensors;Sensitivity;Sensor phenomena and characterization;Temperature sensors;Voltage measurement,https://ieeexplore.ieee.org/document/9931605
1673,9962836,A Laminated Continuum Robot With Gripping Force-Sensing Forceps for Robot-Assisted Minimally Invasive Surgeries,Feng Ju,23,1,orig-research,2022,2023,N,10.1109/JSEN.2022.3223044,245,128,373,1,0,1,,Fabrication;Force;Medical robotics;Robot sensing systems;Robots;Sensors;Three-dimensional displays,https://ieeexplore.ieee.org/document/9962836
1673,8653369,Triple-Mode Read-In Integrated Circuit for Infrared Sensor Evaluation System,Min Ji Cho,19,13,orig-research,2019,2019,N,10.1109/JSEN.2019.2901536,254,119,373,4,0,4,,Capacitors;Dynamic range;Logic gates;Temperature;Temperature sensors;Transistors,https://ieeexplore.ieee.org/document/8653369
1673,9154721,Frequency Shifts Estimation for Sensors Based on Optoelectronic Oscillators,Fabian N. Murrieta-Rico,21,10,orig-research,2020,2021,N,10.1109/JSEN.2020.3013732,248,125,373,5,0,5,,Frequency estimation;Oscillators;Sensor phenomena and characterization;Time measurement;Time-frequency analysis,https://ieeexplore.ieee.org/document/9154721
1673,9812480,UHF-HF Integrated RFID Sensor: A Novel Information Interface for Industrial Integration,Kai Zhang,22,15,orig-research,2022,2022,N,10.1109/JSEN.2022.3185998,228,145,373,3,0,3,,Capacitive sensors;Data integration;Industrial Internet of Things;Intelligent sensors;Logistics;Production;Radiofrequency identification,https://ieeexplore.ieee.org/document/9812480
1673,9969589,DSFNet: A Distributed Sensors Fusion Network for Action Recognition,Haiyong Shi,23,1,orig-research,2022,2023,N,10.1109/JSEN.2022.3225031,246,127,373,3,0,3,,Angular velocity;Feature extraction;Inertial sensors;Representation learning;Sensor fusion;Sensor phenomena and characterization;Sensors,https://ieeexplore.ieee.org/document/9969589
1673,9022960,Optimal Sensor Placement for Modal Identification in Multirotary-Joint Solar Power Satellite,Chen Yang,20,13,orig-research,2020,2020,N,10.1109/JSEN.2020.2978081,223,150,373,11,0,11,,Manganese;Monitoring;Optimization;Satellites;Sensors;Shape;Space vehicles,https://ieeexplore.ieee.org/document/9022960
1674,10024947,Distributed Matrix-Weighted Fusion Consensus Filtering With Two-Stage Filtering for Sensor Networks,Ruixi Wang,23,5,orig-research,2023,2023,N,10.1109/JSEN.2023.3235996,250,122,372,2,0,2,,Covariance matrices;Estimation;Filtering algorithms;Information filters;Kalman filters;Sensor fusion;Sensors,https://ieeexplore.ieee.org/document/10024947
1674,8771242,The Effect of Linear Approximation and Gaussian Noise Assumption in Multi-Sensor Positioning Through Experimental Evaluation,Jelena Gabela,19,22,orig-research,2019,2019,N,10.1109/JSEN.2019.2930822,249,123,372,10,0,10,,Distance measurement;Global navigation satellite system;Measurement errors;Measurement uncertainty;Position measurement;Sensor fusion,https://ieeexplore.ieee.org/document/8771242
1674,9925148,Ultrafast and Sensitive Hydrophobic QCM Humidity Sensor by Sulfur Modified Ti3C2Tx MXene,Zhiqiong Li,23,4,orig-research,2022,2023,N,10.1109/JSEN.2022.3214210,204,168,372,1,0,1,,Etching;Humidity;Optical surface waves;Powders;Scanning electron microscopy;Sensors;Time-frequency analysis,https://ieeexplore.ieee.org/document/9925148
1674,8626423,Simulation of Multilayered Heterojunction-Based Chalcogenide Fiber SPR Sensor With Ultrahigh Figure of Merit in Near Infrared,Anuj K. Sharma,19,11,orig-research,2019,2019,N,10.1109/JSEN.2019.2895103,245,127,372,9,0,9,,Aluminum oxide;Damping;Graphene;Heterojunctions;Optical fiber sensors;Plasmons,https://ieeexplore.ieee.org/document/8626423
1674,8419758,Low-Concentration Ethanol Vapor Sensing With Nanostructured Porous Silicon Interferometers Using Interferogram Average Over Wavelength Reflectance Spectroscopy,Stefano Mariani,18,19,orig-research,2018,2018,N,10.1109/JSEN.2018.2859789,209,163,372,8,0,8,,Ethanol;Interferometers;Monitoring;Optical interferometry;Optical reflection;Optical sensors,https://ieeexplore.ieee.org/document/8419758
1674,10089402,Remaining Useful Life Prediction of Turbofan Engines Using CNN-LSTM-SAM Approach,Jie Li,23,9,orig-research,2023,2023,N,10.1109/JSEN.2023.3261874,209,163,372,2,0,2,,Data mining;Data models;Degradation;Engines;Feature extraction;Prediction algorithms;Predictive models,https://ieeexplore.ieee.org/document/10089402
1674,9374998,Fano Resonance Ion Sensor Enabled by 2D Plasmonic Sub-Nanopores-Material,Lidan Lu,21,13,orig-research,2021,2021,N,10.1109/JSEN.2021.3065409,251,121,372,5,0,5,,Couplings;Electromagnetic waveguides;Ions;Optical waveguides;Plasmons;Sensitivity;Sensors,https://ieeexplore.ieee.org/document/9374998
1674,9083968,Line Structured Light 3D Sensing With Synchronous Color Mapping,Yuehua Li,20,17,orig-research,2020,2020,N,10.1109/JSEN.2020.2991808,220,152,372,5,0,5,,Calibration;Cameras;Image color analysis;Mathematical model;Measurement by laser beam;Sensors;Three-dimensional displays,https://ieeexplore.ieee.org/document/9083968
1674,8630828,Electrochemical Sensor Based on Mn3O4-MnCo2O4-CNT Nanocatalyst Graphene Nanoplatelets for Trace Determination of Thioridazine in Biological and Pharmaceutical Samples,Nafiseh Shams,19,10,orig-research,2019,2019,N,10.1109/JSEN.2019.2896055,223,149,372,12,0,12,,Economic indicators;Electrodes;Graphene;Nanobioscience;Nanoparticles;Oxidation;Sensors,https://ieeexplore.ieee.org/document/8630828
1674,8817947,Parametric Representation and Application of Micro-Doppler Characteristics for Cone-Shaped Space Targets,Xiaofeng Ai,19,24,orig-research,2019,2019,N,10.1109/JSEN.2019.2937995,241,131,372,18,0,18,,Doppler effect;Genetic algorithms;Parameter estimation;Parametric statistics;Scattering;Time-frequency analysis;Transforms,https://ieeexplore.ieee.org/document/8817947
1674,8928525,Variational Bayesian Cubature RTS Smoothing for Transfer Alignment of DPOS,Bo Wang,20,6,orig-research,2019,2020,N,10.1109/JSEN.2019.2958335,216,156,372,13,0,13,,Bayes methods;Cathode ray tubes;Covariance matrices;Estimation;Mathematical model;Noise measurement;Smoothing methods,https://ieeexplore.ieee.org/document/8928525
1674,9794924,"A Portable Traffic Counting, Speed Estimation, and Classification Terminal Using IR-UWB Radar",Zhaocheng Yang,22,13,orig-research,2022,2022,N,10.1109/JSEN.2022.3181215,206,166,372,3,0,3,,Estimation;Radar;Radar detection;Roads;Sensors;Surveillance;Vehicle detection,https://ieeexplore.ieee.org/document/9794924
1674,9099292,Synchronous Vibration Suppression of Magnetically Suspended Rotor System Using Improved Adaptive Frequency Estimation,Jinlei Li,20,19,orig-research,2020,2020,N,10.1109/JSEN.2020.2997046,236,136,372,16,0,16,,Force;Frequency estimation;Magnetic levitation;Rotors;Sensors;Stability analysis;Vibrations,https://ieeexplore.ieee.org/document/9099292
1674,9810803,Smartphone-Based Pedestrian NLOS Positioning Based on Acoustics and IMU Parameter Estimation,Hucheng Wang,22,23,orig-research,2022,2022,N,10.1109/JSEN.2022.3185248,260,112,372,1,0,1,,Acoustics;Costs;Kalman filters;Location awareness;Parameter estimation;Sensors;Smart phones,https://ieeexplore.ieee.org/document/9810803
1674,9966528,A Force/Position Measurement Method of Surgical Forceps Based on Fiber Bragg Gratings,Qiaokang Liang,23,1,orig-research,2022,2023,N,10.1109/JSEN.2022.3224042,219,153,372,2,0,2,,Clamps;Fiber gratings;Force;Force measurement;Sensors;Surgery;Temperature sensors,https://ieeexplore.ieee.org/document/9966528
1674,9889035,A Novel Information Theory-Based Metric for Evaluating Roadside LiDAR Placement,Shaojie Jin,22,21,orig-research,2022,2022,N,10.1109/JSEN.2022.3204836,235,137,372,1,0,1,,Laser radar;Optimal control;Optimization;Point cloud compression;Robot sensing systems;Sensors;Three-dimensional displays,https://ieeexplore.ieee.org/document/9889035
1675,8822387,Research on Temperature Sensor Using Rhodamine6G Film Coated Microstructure Optical Fiber,Yifan Mai,20,1,orig-research,2019,2020,N,10.1109/JSEN.2019.2938766,212,159,371,6,0,6,,Fluorescence;Optical fiber sensors;Optical fibers;Temperature;Temperature measurement;Temperature sensors,https://ieeexplore.ieee.org/document/8822387
1675,9177169,Low Refractive-Index and Temperature Crosstalk Fiber-Optic Liquid Level Sensor Based on Cascaded Quasi-Microfiber and Double-Cladding Fiber Structure,Jing Kang,21,2,orig-research,2020,2021,N,10.1109/JSEN.2020.3019285,212,159,371,8,0,8,,Crosstalk;Liquids;Optical fiber sensors;Sensitivity;Temperature measurement;Temperature sensors,https://ieeexplore.ieee.org/document/9177169
1675,9064844,Ensemble Learning-Based Technique for Force Classifications in Piezoelectric Touch Panels,Yong Liu,20,16,orig-research,2020,2020,N,10.1109/JSEN.2020.2987768,211,160,371,3,0,3,,Artificial neural networks;Data models;Electrodes;Force;Piezoelectric materials;Sensors;Stress,https://ieeexplore.ieee.org/document/9064844
1675,10051715,A Miniature Forward-Looking Phased-Array Transducer for Interventional Biopsy Guidance,Jiabing Lv,23,7,orig-research,2023,2023,N,10.1109/JSEN.2023.3246094,315,56,371,0,0,0,,Biopsy;Magnetic resonance imaging;Needles;Probes;Sensors;Transducers;Ultrasonic imaging,https://ieeexplore.ieee.org/document/10051715
1675,10018932,Flexible Pressure Sensor Based on Tetrapod-Shaped ZnO-PDMS Piezoelectric Nanocomposites,Yurong Liu,23,4,orig-research,2023,2023,N,10.1109/JSEN.2023.3236039,207,164,371,2,0,2,,II-VI semiconductor materials;Nanocomposites;Sensors;Temperature measurement;Temperature sensors;Zinc;Zinc oxide,https://ieeexplore.ieee.org/document/10018932
1675,9137175,Shape Memory Alloy-Based Sensor for Two-Phase Flow Detection,Ajay Kumar Jain,20,23,orig-research,2020,2020,N,10.1109/JSEN.2020.3008191,192,179,371,3,0,3,,Austenite;Heat transfer;Martensite;Resistance;Temperature sensors;Wires,https://ieeexplore.ieee.org/document/9137175
1675,9091555,A Dynamic Beamforming Technique for Ultraviolet-Based Indoor Communications,Thinn Yu Aung,20,18,orig-research,2020,2020,N,10.1109/JSEN.2020.2994071,248,123,371,6,0,6,,Array signal processing;Light emitting diodes;Optical fiber communication;Optical receivers;Optical scattering;Optical transmitters,https://ieeexplore.ieee.org/document/9091555
1675,9908454,Design of a Wireless Passive Pressure Measurement System Using Piezoresistive Materials,Ishita Bhar,22,22,orig-research,2022,2022,N,10.1109/JSEN.2022.3209065,216,155,371,0,0,0,,Carbon;Piezoresistance;Pressure measurement;Pressure sensors;Robot sensing systems;Sensors;Wireless sensor networks,https://ieeexplore.ieee.org/document/9908454
1675,8438496,Precise Positioning in Alpine Areas With Troposphere and Multipath Estimation,Patrick Henkel,18,20,orig-research,2018,2018,N,10.1109/JSEN.2018.2865769,249,122,371,3,0,3,,Clocks;Delays;Global navigation satellite system;Phase measurement;Receivers;Satellites;Terrestrial atmosphere,https://ieeexplore.ieee.org/document/8438496
1675,9935781,Preparation of Conductive Screen-Printing Ink for High-Performance Bendable and Wearable ECG Electrodes on Fabric Substrates,Kasidid Chansaengsri,22,24,orig-research,2022,2022,N,10.1109/JSEN.2022.3217538,207,164,371,1,0,1,,Conductivity;Electrocardiography;Electrodes;Fabrics;Ink;Nanomaterials;Polymers,https://ieeexplore.ieee.org/document/9935781
1675,9139464,On-Chip Depth and Image Sensing System With Offset Pixel Apertures,Young-Gyu Kim,20,23,orig-research,2020,2020,N,10.1109/JSEN.2020.3008898,228,143,371,0,0,0,,Apertures;Application specific integrated circuits;Image color analysis;Image sensors;Sensor systems,https://ieeexplore.ieee.org/document/9139464
1675,9348936,MLS: An MAE-Aware LiDAR Sampling Framework for On-Road Environments Using Spatio-Temporal Information,Quan-Dung Pham,21,7,orig-research,2021,2021,N,10.1109/JSEN.2021.3057383,225,146,371,1,0,1,,Autonomous vehicles;Image reconstruction;Laser radar;Measurement by laser beam;Roads;Sensors;Three-dimensional displays,https://ieeexplore.ieee.org/document/9348936
1675,9106350,Trace Level Analysis of Nerve Agent Simulant DMMP With Silicon Nanowire FET Sensor,Xuanlin Yang,20,20,orig-research,2020,2020,N,10.1109/JSEN.2020.2999378,205,166,371,6,0,6,,Chemical sensors;Chemicals;Gas detectors;Silicon;Surface acoustic waves;Surface treatment,https://ieeexplore.ieee.org/document/9106350
1675,9525392,A Discrete Quaternion Particle Filter Based on Deterministic Sampling for IMU Attitude Estimation,Zhaihe Zhou,21,20,orig-research,2021,2021,N,10.1109/JSEN.2021.3109156,218,153,371,3,0,3,,Estimation;Manifolds;Particle filters;Position measurement;Quaternions;Sensors;Uncertainty,https://ieeexplore.ieee.org/document/9525392
1675,8607960,Cascaded Two-Core PCFs-Based In-Line Fiber Interferometer for Simultaneous Measurement of Strain and Temperature,Khurram Naeem,19,9,orig-research,2019,2019,N,10.1109/JSEN.2019.2891877,296,75,371,18,0,18,,Optical fiber polarization;Optical fiber sensors;Temperature measurement;Temperature sensors,https://ieeexplore.ieee.org/document/8607960
1675,8811573,Improvement of SERS by the Optical Modulation of Photonic Crystal,Jiajia Wang,19,23,orig-research,2019,2019,N,10.1109/JSEN.2019.2937092,237,134,371,11,0,11,,Photonic band gap;Raman scattering;Sensors;Silver;Substrates;Surface treatment,https://ieeexplore.ieee.org/document/8811573
1675,9466839,Modification of Gold Substrate With Fe3O4-Graphene Nanocomposite to Increase Resolution of Surface Plasmon Resonance (SPR) Glucose Sensor,Tita Oktavia Cahya Rahayu,21,18,orig-research,2021,2021,N,10.1109/JSEN.2021.3093107,227,144,371,1,0,1,,Gold;Graphene;Iron;Magnetic sensors;Sensors;Substrates;Surface treatment,https://ieeexplore.ieee.org/document/9466839
1675,9851608,Design and Implementation of a Novel Membrane-Island Structured MEMS Accelerometer With an Ultra-High Range,Jie Zhang,22,21,orig-research,2022,2022,N,10.1109/JSEN.2022.3195340,213,158,371,4,0,4,,Accelerometers;Bars;Bending;Micromechanical devices;Piezoresistance;Sensors;Stress,https://ieeexplore.ieee.org/document/9851608
1676,8754800,Development of a New Airport Unusual-Weather Detection System With Aircraft Surveillance Information,Shau-Shiun Jan,19,20,orig-research,2019,2019,N,10.1109/JSEN.2019.2926391,223,147,370,3,0,3,,Aircraft;Aircraft manufacture;Aircraft navigation;Airports;Anomaly detection;Atmospheric modeling;Meteorology,https://ieeexplore.ieee.org/document/8754800
1676,8886519,Balanced-Bridge Method for the Characterization of Dielectric Charging in RF MEMS Cantilever Switches,Hao Yan,20,4,orig-research,2019,2020,N,10.1109/JSEN.2019.2950104,248,122,370,2,0,2,,Capacitance;Dielectric measurement;Dielectrics;Micromechanical devices;Radio frequency;Resistance;Voltage measurement,https://ieeexplore.ieee.org/document/8886519
1676,9189801,Multi-Frequency Impedance Myography: The PhaseX Effect,Roman Kusche,21,3,orig-research,2020,2021,N,10.1109/JSEN.2020.3022899,186,184,370,6,0,6,,Bioimpedance;Electrodes;Electromyography;Frequency measurement;Impedance;Muscles,https://ieeexplore.ieee.org/document/9189801
1676,10016305,Sensitive Detection of Doped Polymer Thin Films Using Terahertz Metamaterial Based on Analog of Electromagnetically Induced Transparency,Yanqi Hu,23,4,orig-research,2023,2023,N,10.1109/JSEN.2023.3234970,238,132,370,3,0,3,,Doping;Magnetic fields;Polymer films;Refractive index;Resonators;Sensitivity;Sensors,https://ieeexplore.ieee.org/document/10016305
1676,8374047,A Recursive Demodulator for Real-Time Measurement of Multiple Sinusoids,Shijie Sun,18,15,orig-research,2018,2018,N,10.1109/JSEN.2018.2844398,221,149,370,5,0,5,,Demodulation;Digital signal processing chips;Discrete Fourier transforms;Field programmable gate arrays;Phase measurement;Real-time systems;Signal sampling,https://ieeexplore.ieee.org/document/8374047
1676,8584401,Speed-Up Automatic Quadcopter Position Detection by Sensing Propeller Rotation,Chinthaka Premachandra,19,7,orig-research,2018,2019,N,10.1109/JSEN.2018.2888909,234,136,370,25,0,25,,Cameras;Image edge detection;Position measurement;Robot vision systems;Rotors;Transforms,https://ieeexplore.ieee.org/document/8584401
1676,9530517,Encapsulation Research of Microfiber Mach-Zehnder Interferometer Temperature and Salinity Sensor in Seawater,Li-Hui Zhang,21,20,orig-research,2021,2021,N,10.1109/JSEN.2021.3110789,204,166,370,10,0,10,,Encapsulation;Optical fiber sensors;Polymers;Salinity (geophysical);Sensitivity;Sensors;Temperature sensors,https://ieeexplore.ieee.org/document/9530517
1676,9536498,Magnetic Sensor-Based Multi-Vehicle Data Association,Yimeng Feng,21,21,orig-research,2021,2021,N,10.1109/JSEN.2021.3112161,233,137,370,5,0,5,,Magnetic sensors;Magnetic separation;Roads;Sensor fusion;Sensors;Surveillance;Target tracking,https://ieeexplore.ieee.org/document/9536498
1676,9580897,3D Reconstruction of Unstructured Objects Using Information From Multiple Sensors,Hui Chen,21,23,orig-research,2021,2021,N,10.1109/JSEN.2021.3121343,221,149,370,4,0,4,,Feature extraction;Interpolation;Sensors;Solid modeling;Surface reconstruction;Surface treatment;Three-dimensional displays,https://ieeexplore.ieee.org/document/9580897
1676,9997514,Eco-Friendly High-Sensitive Piezoelectrets for Force Myography,Omar Ben Dali,23,3,orig-research,2022,2023,N,10.1109/JSEN.2022.3225723,211,159,370,1,0,1,,Electric potential;Films;Force;Plastics;Power system stability;Programmable logic arrays;Sensors,https://ieeexplore.ieee.org/document/9997514
1676,10054559,A Flexible Graphene Paper Electrochemical Sensor With Electrodeposited Ag and Ni Nanoparticles for H2O2 Detection,Elif Er�ar?kc?,23,7,orig-research,2023,2023,N,10.1109/JSEN.2023.3246380,311,59,370,0,0,0,,Electrodes;Graphene;Nanoparticles;Nickel;Sensors;Surface morphology;Surface treatment,https://ieeexplore.ieee.org/document/10054559
1676,9915321,Early Detection of Esca Disease in Asymptomatic Vines by Raman Spectroscopy,Camilla Baratto,22,23,orig-research,2022,2022,Y,10.1109/JSEN.2022.3211616,256,114,370,1,0,1,,Diseases;Fluorescence;Pipelines;Raman scattering;Sensor phenomena and characterization;Standards;Stress,https://ieeexplore.ieee.org/document/9915321
1676,9359761,Defect Visualization and Depth Quantification in Scanning Induction Thermography,Hui Xia,21,9,orig-research,2021,2021,N,10.1109/JSEN.2021.3060916,199,171,370,4,0,4,,Cameras;Feature extraction;Image reconstruction;Steel;Surface treatment;Visualization;Wiener filters,https://ieeexplore.ieee.org/document/9359761
1676,9519708,Automatic Modulation Recognition Through Wireless Sensor Networks in Aeronautical Wireless Channel,Kun Liu,21,20,orig-research,2021,2021,N,10.1109/JSEN.2021.3106499,245,125,370,4,0,4,,Doppler effect;Feature extraction;Frequency modulation;Modulation;Sensors;Wireless communication;Wireless sensor networks,https://ieeexplore.ieee.org/document/9519708
1676,9046762,A Detection Method for Bearing Faults Using Complex-Valued Null Space Pursuit and 1.5-Dimensional Teager Energy Spectrum,De Zhu,20,15,orig-research,2020,2020,N,10.1109/JSEN.2020.2983261,263,107,370,9,0,9,,Electric shock;Fault diagnosis;Mathematical model;Null space;Sensors;Vibrations;Wavelet transforms,https://ieeexplore.ieee.org/document/9046762
1677,8631168,A Method for Selecting the Next Best Angle-of-Approach for Touch-Based Identification of Beam Members in Truss Structures,Lili Bykerk,19,10,orig-research,2019,2019,N,10.1109/JSEN.2019.2896596,251,118,369,1,0,1,,Grasping;Grippers;Soft robotics;Tactile sensors,https://ieeexplore.ieee.org/document/8631168
1677,9062479,A Gradient-Aware Line Sampling Algorithm for LiDAR Scanners,Xuan Truong Nguyen,20,16,orig-research,2020,2020,N,10.1109/JSEN.2020.2986819,231,138,369,1,0,1,,Detectors;Distance measurement;Image reconstruction;Laser radar;Measurement by laser beam;Mirrors,https://ieeexplore.ieee.org/document/9062479
1677,9831063,"Stretchable, Skin-Breathable, and Ultrasensitive Respiration Sensor Using Graphite on Paper With Smart Structures",Thanh Nguyen,22,17,orig-research,2022,2022,N,10.1109/JSEN.2022.3188271,228,141,369,1,0,1,,Conductivity;Graphite;Intelligent sensors;Monitoring;Sensors;Sleep apnea;Temperature sensors,https://ieeexplore.ieee.org/document/9831063
1677,9841462,Sensitive Detection of Aspartame and Vanillin by Combining Terahertz Fingerprinting With a Metamaterial,Jinhui Zhang,22,16,orig-research,2022,2022,N,10.1109/JSEN.2022.3192527,199,170,369,1,0,1,,Absorption;Additives;Aluminum;Fingerprint recognition;Metamaterials;Plasmas;Sensors,https://ieeexplore.ieee.org/document/9841462
1677,9594735,Mobile Robot Integrated Navigation Algorithm Based on Template Matching VO/IMU/UWB,Yuhong Zheng,21,24,orig-research,2021,2021,N,10.1109/JSEN.2021.3122947,223,146,369,4,0,4,,Covariance matrices;Distance measurement;Filtering;Kalman filters;Mathematical models;Navigation;Sensors,https://ieeexplore.ieee.org/document/9594735
1677,8805358,Investigation of Skewness Feature for Evaluation of Defects Using Eddy Current Pulsed Thermography,Xiaotian Chen,19,24,orig-research,2019,2019,N,10.1109/JSEN.2019.2936221,238,131,369,10,0,10,,Conductivity;Eddy currents;Feature extraction;Geometry;Heating systems;Three-dimensional displays;Transient analysis,https://ieeexplore.ieee.org/document/8805358
